Counter,Demand_el [MWh],Demand_th [MWh],Sol_irradiation [Wh/sqm],Wind_power [kW/unit]
314,1.357577378,17.1122449,0,966.1629761
315,1.223788447,17.01836735,0,382.380178
316,1.269886933,16.73673469,0,49.58984097
317,1.422581301,18.23877551,0,121.7647854
318,1.779432389,19.36530612,0,442.7156407
319,2.498278603,19.27142857,0,1887.799044
320,3.194855973,20.02244898,0,1067.927009
321,3.440428788,21.5244898,85.48980332,1390.624037
322,3.382855142,22.83877551,313.8429275,813.8332093
323,3.50327837,24.99795918,107.3496351,733.7715276
324,3.529658048,22.18163265,109.2910758,1757.198785
325,3.420863861,21.43061224,236.0473142,1446.08944
326,3.357574618,20.21020408,159.3074506,1067.927009
327,3.241064375,20.02244898,26.6337719,915.2809597
328,3.165112887,19.55306122,13.31688595,258.6758467
329,3.194240447,19.55306122,0,503.0511033
330,3.463554972,22.36938776,0,533.6173233
331,3.357332804,22.2755102,0,966.1629761
332,3.231215962,21.9,0,1279.69323
333,2.887071085,21.05510204,0,472.883372
334,2.604676636,20.96122449,0,352.2124467
335,2.410939887,20.21020408,0,121.7647854
336,2.082996529,17.76938776,0,195.6238585
337,1.749953099,17.4877551,0,134.9184882
338,1.579628314,18.14489796,0,161.2258937
339,1.511766594,18.89591837,0,322.0447154
340,1.555776689,19.55306122,0,216.6411879
341,1.651315088,20.39795918,0,258.6758467
342,1.933973334,21.33673469,0,300.7105055
343,2.608875402,20.86734694,0,773.8023685
344,3.205319912,21.9,0,693.7406867
345,3.470369722,22.2755102,7.990131571,1118.809025
346,3.452519474,21.80612245,29.29714909,1757.198785
347,3.543815141,22.0877551,45.27741224,1911.122963
348,3.656368432,21.24285714,66.58442976,1817.827287
349,3.579295808,21.05510204,71.91118414,1864.475125
350,3.506114186,21.5244898,90.74887828,1934.446882
351,3.384262058,19.92857143,65.54467593,1911.122963
352,3.315279201,19.36530612,18.64364033,1757.198785
353,3.305958382,19.74081633,0,1788.922478
354,3.530977032,20.21020408,0,1446.08944
355,3.478349575,20.58571429,0,1279.69323
356,3.372874831,20.39795918,0,1279.69323
357,3.043678437,20.30408163,0,966.1629761
358,2.748995456,19.83469388,0,773.8023685
359,2.500608808,17.4877551,0,300.7105055
360,2.086909514,16.64285714,0,352.2124467
361,1.771122791,16.36122449,0,1169.691042
362,1.523923229,16.07959184,0,442.7156407
363,1.387034685,16.26734694,0,216.6411879
364,1.524187025,17.4877551,0,237.6585173
365,1.704140393,18.05102041,0,322.0447154
366,2.018498217,19.36530612,0,472.883372
367,2.660381722,19.55306122,0,174.6065291
368,3.285030504,20.86734694,0,322.0447154
369,3.457817393,20.49183673,13.31688595,108.6110827
370,3.380590886,20.58571429,55.930921,161.2258937
371,3.404508461,20.96122449,329.7190593,237.6585173
372,3.425326423,20.77346939,524.9531808,237.6585173
373,3.316861982,19.55306122,212.9005661,279.6931761
374,3.177445386,19.74081633,141.6340304,161.2258937
375,3.006373177,20.39795918,66.58442976,74.03857109
376,2.910856761,21.24285714,23.97039471,15.61811186
377,2.938049812,20.96122449,0,12.4726612
378,3.213981239,21.43061224,0,6.181759882
379,3.171993586,21.7122449,0,3.036309224
380,2.98452201,21.33673469,0,12.4726612
381,2.612348726,19.55306122,0,2.147101078
382,2.312741538,19.36530612,0,3.036309224
383,2.111662445,18.05102041,0,3.036309224
384,1.76817706,16.9244898,0,3.036309224
385,1.475758334,16.9244898,0,9.327210541
386,1.24920087,16.83061224,0,21.90901318
387,1.154629725,16.36122449,0,21.90901318
388,1.130953965,16.54897959,0,82.30367714
389,1.140406683,17.20612245,0,74.03857109
390,1.112642072,18.23877551,0,195.6238585
391,1.176810638,19.17755102,0,300.7105055
392,1.507787659,20.86734694,0,95.4573799
393,1.864177103,22.18163265,31.96052628,82.30367714
394,2.13091961,22.2755102,156.6101637,82.30367714
395,2.284383384,21.80612245,242.679623,82.30367714
396,2.381196801,19.64693878,272.0419584,134.9184882
397,2.319864051,19.08367347,297.0198427,216.6411879
398,2.127446286,18.98979592,360.5096293,442.7156407
399,2.009023516,19.17755102,247.8886283,442.7156407
400,1.943228204,19.92857143,78.63051319,216.6411879
401,2.008935584,20.77346939,2.66337719,95.4573799
402,2.387879653,22.55714286,0,18.76356252
403,2.480714135,22.83877551,0,15.61811186
404,2.316874354,22.18163265,0,18.76356252
405,1.958770231,20.86734694,0,15.61811186
406,1.755844561,20.77346939,0,25.14111085
407,1.695171302,18.80204082,0,15.61811186
408,1.427285676,18.61428571,0,15.61811186
409,1.181646912,18.42653061,0,9.327210541
410,1.037591889,18.98979592,0,6.181759882
411,0.905165908,18.42653061,0,6.181759882
412,0.876236195,18.42653061,0,3.036309224
413,0.866475714,19.27142857,0,21.90901318
414,0.810616747,20.49183673,0,82.30367714
415,0.717056823,19.92857143,0,121.7647854
416,0.890701051,19.55306122,2.66337719,134.9184882
417,1.108135544,21.14897959,59.60815293,121.7647854
418,1.378329391,23.58979592,103.4058187,300.7105055
419,1.617505135,23.49591837,101.7299966,134.9184882
420,1.84757989,22.74489796,213.6016382,95.4573799
421,1.857648133,23.12040816,352.8922737,161.2258937
422,1.677255105,23.02653061,191.3403775,108.6110827
423,1.566746239,22.93265306,69.24780695,121.7647854
424,1.554215892,22.74489796,18.64364033,95.4573799
425,1.602270871,22.93265306,0,121.7647854
426,2.063453584,22.74489796,0,174.6065291
427,2.208365947,23.40204082,0,148.0721909
428,2.085590531,23.02653061,0,352.2124467
429,1.868881479,22.55714286,0,82.30367714
430,1.75096432,21.7122449,0,49.58984097
431,1.806185779,20.67959184,0,25.14111085
432,1.559250013,19.83469388,0,1.289250898
433,1.283076772,19.17755102,0,3.036309224
434,1.139285546,19.55306122,0,9.327210541
435,1.093209043,19.64693878,0,25.14111085
436,1.132316915,19.17755102,0,6.181759882
437,1.246892648,20.30408163,0,3.036309224
438,1.570307495,20.39795918,0,0.860325809
439,2.361016348,23.21428571,0,2.576026168
440,3.065463655,22.74489796,2.66337719,121.7647854
441,3.285843878,23.21428571,34.62390347,148.0721909
442,3.32682031,25.18571429,74.1808504,258.6758467
443,3.392066046,24.62244898,101.2083332,134.9184882
444,3.447199572,23.40204082,79.90131571,21.90901318
445,3.402595934,23.40204082,71.91118414,18.76356252
446,3.37430373,23.77755102,53.26754381,2.147101078
447,3.305079059,23.77755102,21.30701752,41.44026426
448,3.241943698,23.58979592,5.326754381,41.44026426
449,3.205583709,23.87142857,0,9.327210541
450,3.467116229,23.96530612,0,0
451,3.458916546,23.49591837,0,12.4726612
452,3.314619709,23.77755102,0,12.4726612
453,2.944864562,22.93265306,0,2.576026168
454,2.65211609,20.96122449,0,0.860325809
455,2.424789218,19.92857143,0,0
456,2.023444407,19.92857143,0,0
457,1.735554192,18.42653061,0,2.147101078
458,1.540784239,17.58163265,0,0.002475629
459,1.448631232,17.76938776,0,0
460,1.489651631,18.05102041,0,0
461,1.578243381,18.98979592,0,0
462,1.849470433,21.14897959,0,6.181759882
463,2.528769114,24.62244898,0,0.431400719
464,3.161375766,26.03061224,0,1.718175988
465,3.391824232,25.46734694,13.31688595,1.718175988
466,3.402486019,24.90408163,37.28728066,3.036309224
467,3.498661927,24.34081633,55.930921,12.4726612
468,3.552718283,23.87142857,79.90131571,12.4726612
469,3.531834371,23.87142857,58.59429819,41.44026426
470,3.482438425,23.58979592,50.60416662,74.03857109
471,3.395561353,23.49591837,50.60416662,74.03857109
472,3.34511022,23.58979592,10.65350876,95.4573799
473,3.280436044,23.77755102,0,49.58984097
474,3.541331055,24.71632653,0,9.327210541
475,3.512994885,23.96530612,0,18.76356252
476,3.353156022,23.49591837,0,9.327210541
477,2.999932139,22.83877551,0,12.4726612
478,2.690696368,22.0877551,0,18.76356252
479,2.430043171,19.92857143,0,21.90901318
480,2.078358102,20.67959184,0,6.181759882
481,1.745270707,20.11632653,0,1.289250898
482,1.550280923,18.80204082,0,0.002475629
483,1.475340656,18.23877551,0,0
484,1.491893903,17.95714286,0,0.002475629
485,1.575187735,20.58571429,0,0.002475629
486,1.856417082,22.46326531,0,9.327210541
487,2.542970174,26.21836735,0,1.289250898
488,3.149548877,26.78163265,2.66337719,6.181759882
489,3.350034427,26.03061224,54.7745654,18.76356252
490,3.38140426,26.1244898,230.6560912,12.4726612
491,3.457113934,25.27959184,350.2938985,15.61811186
492,3.479580627,25.09183673,415.627377,74.03857109
493,3.423128116,24.52857143,564.1949679,74.03857109
494,3.398023457,25.27959184,523.655624,148.0721909
495,3.347440425,25.27959184,360.8427089,65.88899438
496,3.290899983,25.27959184,133.4523104,148.0721909
497,3.259134454,25.37346939,2.66337719,216.6411879
498,3.533373186,26.96938776,0,25.14111085
499,3.565006816,26.5,0,352.2124467
500,3.412026669,26.3122449,0,442.7156407
501,3.032730871,24.62244898,0,148.0721909
502,2.738311686,23.49591837,0,174.6065291
503,2.518942684,22.46326531,0,382.380178
504,2.145758179,21.5244898,0,279.6931761
505,1.837709493,21.05510204,0,216.6411879
506,1.665779945,19.64693878,0,352.2124467
507,1.571494581,19.45918367,0,300.7105055
508,1.559403895,20.96122449,0,279.6931761
509,1.627309582,23.96530612,0,300.7105055
510,1.890578764,27.06326531,0,533.6173233
511,2.561897592,27.62653061,0,733.7715276
512,3.207012608,28.47142857,0,613.679005
513,3.422468625,28.37755102,5.326754381,148.0721909
514,3.437483058,28.65918367,23.97039471,322.0447154
515,3.528910624,26.6877551,53.26754381,773.8023685
516,3.605147892,24.24693878,66.58442976,533.6173233
517,3.558345947,23.40204082,61.25767538,382.380178
518,3.517259599,22.36938776,53.26754381,322.0447154
519,3.477426286,22.46326531,32.62944687,322.0447154
520,3.423589761,23.77755102,5.326754381,95.4573799
521,3.360432416,25.46734694,0,134.9184882
522,3.546760872,26.21836735,0,148.0721909
523,3.537220222,26.5,0,82.30367714
524,3.3808327,26.5,0,134.9184882
525,3.042952996,25.93673469,0,108.6110827
526,2.747434658,25.93673469,0,95.4573799
527,2.538089933,23.58979592,0,57.73941767
528,2.154309591,21.61836735,0,65.88899438
529,1.818694143,19.92857143,0,95.4573799
530,1.6380593,20.30408163,0,74.03857109
531,1.544895072,21.7122449,0,412.5479093
532,1.575385583,23.40204082,0,300.7105055
533,1.662680333,23.96530612,0,237.6585173
534,1.897547395,27.15714286,0,25.14111085
535,2.521272889,27.81428571,0,3.036309224
536,3.14491045,30.06734694,0,1.718175988
537,3.351441343,30.25510204,10.65350876,2.576026168
538,3.357222889,31.4755102,37.28728066,0.431400719
539,3.446056453,30.7244898,55.930921,33.29068755
540,3.474854268,28.56530612,39.95065785,148.0721909
541,3.419478928,27.15714286,39.95065785,108.6110827
542,3.318796492,27.15714286,37.28728066,134.9184882
543,3.208617372,28.18979592,21.30701752,49.58984097
544,3.142931974,28.18979592,7.990131571,2.147101078
545,3.146493231,23.21428571,0,1.289250898
546,3.400045899,28.09591837,0,0.860325809
547,3.38599872,28.18979592,0,3.036309224
548,3.17905015,27.34489796,0,21.90901318
549,2.822748638,26.21836735,0,0.002475629
550,2.547476702,24.99795918,0,9.327210541
551,2.403157883,23.96530612,0,21.90901318
552,2.159409662,22.93265306,0,21.90901318
553,1.90812125,21.9,0,41.44026426
554,1.674529205,22.65102041,0,65.88899438
555,1.742742654,22.55714286,0,121.7647854
556,1.780751373,22.55714286,0,108.6110827
557,1.750524659,22.46326531,0,33.29068755
558,1.572439852,23.96530612,0,21.90901318
559,1.42537315,26.3122449,0,18.76356252
560,1.665142436,27.90816327,5.326754381,25.14111085
561,1.903109111,28.37755102,160.3877743,74.03857109
562,2.224105821,29.50408163,436.3601021,121.7647854
563,2.437319565,29.50408163,258.3109855,21.90901318
564,2.617426814,28.65918367,110.6663028,216.6411879
565,2.579923705,27.06326531,50.60416662,412.5479093
566,2.4153365,25.74897959,26.6337719,412.5479093
567,2.276403532,25.65510204,26.6337719,382.380178
568,2.208519828,24.05918367,18.64364033,300.7105055
569,2.221929498,24.52857143,2.66337719,237.6585173
570,2.573372752,26.03061224,0,300.7105055
571,2.669152965,26.6877551,0,237.6585173
572,2.457126306,25.74897959,0,279.6931761
573,2.089657398,24.62244898,0,174.6065291
574,1.859670575,23.87142857,0,134.9184882
575,1.838368985,23.30816327,0,195.6238585
576,1.600556192,21.61836735,0,382.380178
577,1.352807053,21.05510204,0,216.6411879
578,1.191451359,20.30408163,0,300.7105055
579,1.076238117,19.55306122,0,195.6238585
580,1.001121985,22.36938776,0,195.6238585
581,0.97863331,24.24693878,0,195.6238585
582,0.921499325,24.34081633,0,216.6411879
583,0.788457817,24.52857143,0,148.0721909
584,0.952209666,24.05918367,2.66337719,121.7647854
585,1.200420449,24.15306122,29.29714909,195.6238585
586,1.563141016,24.99795918,69.24780695,82.30367714
587,1.84234792,25.65510204,133.1688595,65.88899438
588,2.064684636,23.96530612,85.22807009,148.0721909
589,2.034963533,22.46326531,85.22807009,161.2258937
590,1.843403107,22.74489796,50.60416662,134.9184882
591,1.716362977,22.65102041,21.30701752,108.6110827
592,1.670989931,23.21428571,7.990131571,41.44026426
